column_name,data_type,is_nullable,ordinal_position
_dbt_source_relation,STRING,true,1
id,INT64,true,2
status,INT64,true,3
title,STRING,true,4
user_id,INT64,true,5
group_id,INT64,true,6
hosting_options,STRING,true,7
host_pitch,STRING,true,8
host_instructions,STRING,true,9
host_page_status,INT64,true,10
attendee_page_status,STRING,true,11
attendee_pitch,STRING,true,12
permalink,STRING,true,13
first_publish,INT64,true,14
utc_created_at,TIMESTAMP,true,15
utc_updated_at,TIMESTAMP,true,16
attendee_instructions,STRING,true,17
event_description,STRING,true,18
photo_file_name,STRING,true,19
photo_file_size,INT64,true,20
photo_content_type,STRING,true,21
notifications,INT64,true,22
stats,STRING,true,23
discussion,INT64,true,24
uuid,STRING,true,25
custom_html,STRING,true,26
first_permalink,STRING,true,27
csv_file_name,STRING,true,28
csv_content_type,STRING,true,29
csv_file_size,INT64,true,30
tag_list,STRING,true,31
administrative_title,STRING,true,32
show_goal,INT64,true,33
hidden,INT64,true,34
language,STRING,true,35
form_builder_output,STRING,true,36
form_builder_output_json,STRING,true,37
default_automatic_notifications,INT64,true,38
default_reminder_message,STRING,true,39
default_reminder_from,STRING,true,40
default_reminder_subject,STRING,true,41
default_reminder_reply_to,STRING,true,42
default_email_template_id,INT64,true,43
default_email,STRING,true,44
default_redirect_url,STRING,true,45
default_unpublished_redirect,STRING,true,46
default_email_response,INT64,true,47
default_auto_response_email_template_id,INT64,true,48
default_auto_response_email,STRING,true,49
default_subject,STRING,true,50
default_from,STRING,true,51
default_reply_to,STRING,true,52
default_message,STRING,true,53
default_facebook_title,STRING,true,54
default_facebook_link,STRING,true,55
default_facebook_share,STRING,true,56
default_facebook_image_file_name,STRING,true,57
default_facebook_image_file_size,INT64,true,58
default_facebook_image_content_type,STRING,true,59
default_twitter_share,STRING,true,60
default_email_share,STRING,true,61
default_direct_link,STRING,true,62
csv_updated_at,TIMESTAMP,true,63
thank_you_headline,STRING,true,64
thank_you_subhead,STRING,true,65
image_attribution,STRING,true,66
originating_system,STRING,true,67
browser_url,STRING,true,68
events_csv,STRING,true,69
events_csv_file_name,STRING,true,70
events_csv_content_type,STRING,true,71
events_csv_file_size,STRING,true,72
events_csv_updated_at,TIMESTAMP,true,73
custom_host_html,STRING,true,74
source_schema,STRING,true,75
source_table,STRING,true,76
vendor,STRING,true,77
segment_by_key,STRING,true,78
vendor_unique_event_campaign_id,STRING,true,79
data_owner_id,INT64,true,80
data_owner_code,STRING,true,81
